iter	Passed	Remaining
605	1782	1158
606	1785	1155
607	1788	1153
608	1790	1149
609	1793	1146
610	1797	1144
611	1800	1141
612	1802	1138
613	1805	1135
614	1808	1132
615	1811	1129
616	1814	1126
617	1817	1123
618	1820	1120
619	1823	1117
620	1825	1114
621	1828	1111
622	1831	1108
623	1834	1105
624	1838	1102
625	1840	1099
626	1844	1097
627	1847	1094
628	1850	1091
629	1853	1088
630	1855	1085
631	1858	1082
632	1861	1079
633	1864	1076
634	1867	1073
635	1870	1070
636	1872	1067
637	1875	1064
638	1878	1061
639	1882	1058
640	1884	1055
641	1887	1052
642	1890	1049
643	1893	1046
644	1896	1043
645	1899	1040
646	1902	1037
647	1904	1034
648	1908	1032
649	1910	1028
650	1914	1026
651	1917	1023
652	1920	1020
653	1923	1017
654	1926	1014
655	1930	1012
656	1933	1009
657	1936	1006
658	1939	1003
659	1942	1000
660	1945	997
661	1948	994
662	1951	992
663	1954	989
664	1958	986
665	1960	983
666	1963	980
667	1966	977
668	1969	974
669	1972	971
670	1975	968
671	1979	965
672	1981	962
673	1984	960
674	1987	956
675	1990	953
676	1993	951
677	1995	947
678	1998	945
679	2001	941
680	2004	938
681	2007	935
682	2009	932
683	2013	930
684	2015	926
685	2018	924
686	2021	920
687	2023	917
688	2026	914
689	2029	911
690	2032	908
691	2035	905
692	2038	902
693	2040	899
694	2043	896
695	2045	893
696	2048	890
697	2051	887
698	2054	884
699	2057	881
700	2060	878
701	2063	875
702	2065	872
703	2068	869
704	2071	866
705	2074	863
706	2077	860
707	2079	857
708	2083	854
709	2086	852
710	2089	849
711	2092	846
712	2095	843
713	2098	840
714	2101	837
715	2104	834
716	2107	832
717	2110	828
718	2113	825
719	2116	823
720	2119	820
721	2121	817
722	2124	813
723	2127	811
724	2130	808
725	2134	805
726	2137	802
727	2140	799
728	2142	796
729	2145	793
730	2148	790
731	2151	787
732	2154	784
733	2156	781
734	2160	778
735	2162	775
736	2165	772
737	2168	769
738	2172	767
739	2175	764
740	2178	761
741	2180	758
742	2184	755
743	2186	752
744	2189	749
745	2192	746
746	2194	743
747	2198	740
748	2200	737
749	2203	734
750	2206	731
751	2209	728
752	2212	725
753	2215	722
754	2218	719
755	2221	716
756	2224	713
757	2226	710
758	2229	707
759	2232	704
760	2235	702
761	2238	699
762	2241	696
763	2244	693
764	2246	690
765	2249	687
766	2252	684
767	2255	681
768	2258	678
769	2260	675
770	2264	672
771	2267	669
772	2270	666
773	2273	663
774	2276	660
775	2279	657
776	2281	654
777	2284	652
778	2287	648
779	2290	646
780	2293	643
781	2296	640
782	2299	637
783	2301	634
784	2304	631
785	2307	628
786	2310	625
787	2313	622
788	2316	619
789	2320	616
790	2322	613
791	2325	610
792	2328	607
793	2330	604
794	2333	601
795	2336	598
796	2339	595
797	2342	592
798	2344	589
799	2347	586
800	2351	584
801	2354	581
802	2357	578
803	2360	575
804	2364	572
805	2367	569
806	2370	566
807	2373	564
808	2376	561
809	2379	558
810	2382	555
811	2385	552
812	2388	549
813	2391	546
814	2394	543
815	2396	540
816	2399	537
817	2402	534
818	2405	531
819	2408	528
820	2411	525
821	2414	522
822	2417	519
823	2420	516
824	2422	513
825	2426	511
826	2429	508
827	2432	505
828	2435	502
829	2438	499
830	2441	496
831	2444	493
832	2447	490
833	2450	487
834	2452	484
835	2455	481
836	2458	478
837	2461	475
838	2464	472
839	2467	469
840	2470	466
841	2472	464
842	2475	461
843	2478	458
844	2481	455
845	2484	452
846	2486	449
847	2489	446
848	2492	443
849	2494	440
850	2497	437
851	2500	434
852	2503	431
853	2506	428
854	2509	425
855	2512	422
856	2515	419
857	2518	416
858	2521	413
859	2524	410
860	2527	407
861	2530	405
862	2533	402
863	2536	399
864	2539	396
865	2542	393
866	2545	390
867	2547	387
868	2550	384
869	2553	381
870	2555	378
871	2558	375
872	2561	372
873	2564	369
874	2568	366
875	2571	363
876	2574	361
877	2576	358
878	2580	355
879	2583	352
880	2585	349
881	2588	346
882	2591	343
883	2594	340
884	2596	337
885	2599	334
886	2602	331
887	2604	328
888	2607	325
889	2611	322
890	2613	319
891	2616	316
892	2618	313
893	2621	310
894	2624	307
895	2627	304
896	2629	301
897	2633	299
898	2636	296
899	2639	293
900	2642	290
901	2645	287
902	2647	284
903	2650	281
904	2653	278
905	2657	275
906	2659	272
907	2662	269
908	2665	266
909	2667	263
910	2670	260
911	2674	258
912	2676	255
913	2680	252
914	2682	249
915	2685	246
916	2688	243
917	2690	240
918	2693	237
919	2695	234
920	2698	231
921	2701	228
922	2704	225
923	2707	222
924	2711	219
925	2713	216
926	2716	213
927	2719	211
928	2722	208
929	2725	205
930	2728	202
931	2731	199
932	2734	196
933	2737	193
934	2740	190
935	2742	187
936	2745	184
937	2748	181
938	2752	178
939	2755	175
940	2757	172
941	2760	169
942	2763	167
943	2766	164
944	2769	161
945	2772	158
946	2775	155
947	2779	152
948	2782	149
949	2785	146
950	2788	143
951	2790	140
952	2793	137
953	2796	134
954	2799	131
955	2802	128
956	2804	126
957	2807	123
958	2809	120
959	2812	117
960	2815	114
961	2818	111
962	2821	108
963	2823	105
964	2826	102
965	2830	99
966	2833	96
967	2835	93
968	2838	90
969	2841	87
970	2844	84
971	2847	82
972	2850	79
973	2853	76
974	2856	73
975	2859	70
976	2863	67
977	2866	64
978	2869	61
979	2871	58
980	2874	55
981	2877	52
982	2880	49
983	2883	46
984	2886	43
985	2890	41
986	2893	38
987	2896	35
988	2899	32
989	2902	29
990	2905	26
991	2908	23
992	2911	20
993	2914	17
994	2917	14
995	2920	11
996	2924	8
997	2927	5
998	2930	2
999	2932	0
