iter	Logloss
143	0.6507406406
144	0.650682386
145	0.6506165349
146	0.6505688133
147	0.6505175636
148	0.6504613552
149	0.6504124826
150	0.6503581356
151	0.6503032284
152	0.6502443377
153	0.6501934621
154	0.6501463332
155	0.6500899192
156	0.6500410183
157	0.6499938522
158	0.6499439194
159	0.6498901625
160	0.6498387823
161	0.6497888712
162	0.6497476327
163	0.6497033798
164	0.6496561325
165	0.6496161512
166	0.6495800802
167	0.6495447132
168	0.6495112411
169	0.6494648061
170	0.6494230906
171	0.6493804088
172	0.6493369646
173	0.6493044381
174	0.6492657838
175	0.6492261735
176	0.6491840999
177	0.6491435056
178	0.6491050105
179	0.6490702049
180	0.6490308926
181	0.6489943427
182	0.6489642798
183	0.6489238474
184	0.6488895237
185	0.648859854
186	0.6488271759
187	0.6487939724
188	0.6487626865
189	0.648733187
190	0.6487008442
191	0.6486731547
192	0.6486428387
193	0.6486157313
194	0.6485863539
195	0.6485543088
196	0.648523129
197	0.648495474
198	0.6484698234
199	0.6484419946
200	0.6484135364
201	0.6483846265
202	0.6483560329
203	0.6483285985
204	0.6483057786
205	0.6482803516
206	0.6482550921
207	0.6482339331
208	0.6482139999
209	0.6481945707
210	0.6481691221
211	0.6481481497
212	0.6481264581
213	0.6480998557
214	0.6480755235
215	0.648055617
216	0.6480349025
217	0.6480103418
218	0.6479867311
219	0.6479700364
220	0.6479488473
221	0.6479271749
222	0.6479066265
223	0.6478826385
224	0.6478581977
225	0.6478372343
226	0.647819016
227	0.6477977997
228	0.6477766899
229	0.6477557044
230	0.6477374897
231	0.6477196026
232	0.6477018797
233	0.6476797603
234	0.6476597452
235	0.6476463377
236	0.6476310787
237	0.6476086918
238	0.6475962524
239	0.6475804617
240	0.6475608114
241	0.6475458395
242	0.6475248807
243	0.647506049
244	0.6474889528
245	0.6474726886
246	0.6474553057
247	0.6474392455
248	0.6474222122
249	0.6474064295
250	0.6473886074
251	0.6473763679
252	0.6473596037
253	0.6473401916
254	0.6473264995
255	0.6473093335
256	0.6472931793
257	0.6472795997
258	0.6472680868
259	0.6472541415
260	0.6472363458
261	0.647221443
262	0.6472090796
263	0.6471919686
264	0.6471796068
265	0.6471637237
266	0.6471485587
267	0.6471354757
268	0.6471230881
269	0.6471111366
270	0.6470963189
271	0.6470812887
272	0.6470694254
273	0.6470549473
274	0.6470410258
275	0.6470281519
276	0.6470164097
277	0.6470043579
278	0.6469904692
279	0.6469754282
280	0.6469642251
281	0.6469507636
282	0.6469376447
283	0.6469259049
284	0.6469128941
285	0.6468980394
286	0.6468869216
287	0.6468756809
288	0.6468616968
289	0.6468505846
290	0.646840227
291	0.6468249306
292	0.6468156592
293	0.6468039594
294	0.6467906166
295	0.6467762817
296	0.6467619071
297	0.6467520094
298	0.6467442508
299	0.6467329895
300	0.6467237472
301	0.6467106518
302	0.6466976308
303	0.646686688
304	0.6466720339
305	0.6466589371
306	0.6466501391
307	0.6466398732
308	0.6466280824
309	0.6466166332
310	0.6466113188
311	0.6466038014
312	0.6465939463
313	0.6465819151
314	0.6465740629
315	0.6465649664
316	0.6465574319
317	0.6465471376
318	0.6465371331
319	0.6465276894
320	0.6465225143
321	0.6465130531
322	0.6465039431
323	0.6464939505
324	0.6464787167
325	0.6464711186
326	0.6464647628
327	0.6464596814
328	0.6464474448
329	0.6464382309
330	0.6464300797
331	0.646417725
332	0.6464086959
333	0.6463997548
334	0.6463979118
335	0.6463885315
336	0.6463829301
337	0.6463741996
338	0.6463666939
339	0.6463584905
340	0.6463512736
341	0.6463448705
342	0.6463355805
343	0.6463257696
344	0.6463185608
345	0.6463091668
346	0.646298317
347	0.6462880462
348	0.6462770747
349	0.6462656699
350	0.646258082
351	0.6462465169
352	0.6462354048
353	0.6462236049
354	0.6462145554
355	0.646207394
356	0.6461964104
357	0.6461874344
358	0.6461797664
359	0.6461671258
360	0.6461564537
361	0.646149691
362	0.6461386814
363	0.6461258847
364	0.646116054
365	0.6461094002
366	0.6461002868
367	0.646095084
368	0.6460792169
369	0.646068501
370	0.6460622602
371	0.6460491508
372	0.6460384273
373	0.646030769
374	0.6460232735
375	0.6460174825
376	0.6460083244
377	0.6460026965
378	0.6459956505
379	0.6459905363
380	0.6459835889
381	0.6459742529
382	0.6459662507
383	0.6459597537
384	0.6459519346
385	0.645943718
386	0.6459372043
387	0.6459291545
388	0.6459208828
389	0.6459117068
390	0.645901821
391	0.6458925204
392	0.6458839901
393	0.6458711901
394	0.6458635978
395	0.6458577857
396	0.6458486483
397	0.6458379889
398	0.6458287811
399	0.6458230639
400	0.6458176049
401	0.6458109312
402	0.6457975616
403	0.6457943646
404	0.6457884708
405	0.6457814049
406	0.6457737774
407	0.6457635626
408	0.6457611925
409	0.6457542596
410	0.6457486609
411	0.6457372703
412	0.6457281803
413	0.6457206039
414	0.645711681
415	0.6457058869
416	0.6456980732
417	0.6456930666
418	0.6456809519
419	0.6456742448
420	0.6456668942
421	0.6456556729
422	0.6456462408
423	0.6456387755
424	0.6456315981
425	0.6456280325
426	0.6456227267
427	0.6456149298
428	0.6456098513
429	0.6456055985
430	0.6456005769
431	0.6455946608
432	0.6455904883
433	0.6455803127
434	0.6455731141
435	0.6455639404
436	0.6455565627
437	0.6455487285
438	0.6455415354
439	0.6455331002
440	0.6455278587
441	0.6455205482
442	0.6455143722
443	0.6455062042
444	0.6455024051
445	0.6454967256
446	0.6454914314
447	0.6454859106
448	0.6454806636
449	0.6454762786
450	0.6454676021
451	0.6454605231
452	0.645455113
453	0.6454503173
454	0.6454470425
455	0.6454429283
456	0.6454353653
457	0.6454284615
458	0.6454269897
459	0.6454203982
460	0.6454167388
461	0.6454051935
462	0.6453971327
463	0.6453928922
464	0.6453853436
465	0.6453788685
466	0.6453713477
467	0.6453651109
468	0.6453604394
469	0.6453565416
470	0.6453544871
471	0.6453489978
472	0.6453437454
473	0.6453417505
474	0.6453314446
475	0.6453253356
476	0.645321029
477	0.6453156717
478	0.6453081167
479	0.6453001326
480	0.6452945715
481	0.6452887012
482	0.6452800659
483	0.6452730134
484	0.6452662418
485	0.6452582185
486	0.6452515519
487	0.645245512
488	0.645236369
489	0.6452318099
490	0.64522429
491	0.645216769
492	0.6452141231
493	0.6452061119
494	0.6451984394
495	0.6451911291
496	0.6451871826
497	0.6451819993
498	0.6451767683
499	0.6451699261
500	0.6451664761
501	0.6451601197
502	0.6451549107
503	0.6451485404
504	0.645143089
505	0.6451386455
506	0.6451309622
507	0.6451224953
508	0.6451155887
509	0.6451130483
510	0.6451051931
511	0.6450982782
512	0.6450929145
513	0.6450890726
514	0.6450852926
515	0.6450803837
516	0.6450760628
517	0.6450713475
518	0.6450669636
519	0.645061212
520	0.645057318
521	0.6450521789
522	0.6450457174
523	0.6450408727
524	0.6450337941
525	0.6450300554
526	0.6450242743
527	0.6450191844
528	0.6450141804
529	0.6450068489
530	0.6450003777
531	0.6449939817
532	0.6449922158
533	0.6449865799
534	0.6449845397
535	0.6449809148
536	0.6449737319
537	0.6449679294
538	0.6449630642
539	0.6449572588
540	0.644954512
541	0.64495077
542	0.6449472734
543	0.6449437908
544	0.6449340812
545	0.6449265549
546	0.6449158664
547	0.6449088002
548	0.6449061751
549	0.6449016409
550	0.6448948152
551	0.6448902693
552	0.6448850082
553	0.6448770532
554	0.6448692825
555	0.6448636257
556	0.6448573111
557	0.6448527678
558	0.6448499203
559	0.6448473839
560	0.644842473
561	0.6448341707
562	0.6448286945
563	0.6448223633
564	0.6448176264
565	0.6448140684
566	0.6448079513
567	0.6447987877
568	0.6447929906
569	0.6447877039
570	0.644783669
571	0.644778676
572	0.6447724251
573	0.6447711132
574	0.6447673872
575	0.6447605358
576	0.6447563379
577	0.644752623
578	0.6447485342
579	0.64474265
580	0.6447358212
581	0.6447289584
582	0.6447232374
583	0.6447174822
584	0.6447101762
585	0.6447052921
586	0.6446990032
587	0.6446904781
588	0.6446866276
589	0.6446807595
590	0.6446769897
591	0.6446726554
592	0.644668958
593	0.644664155
594	0.6446575502
595	0.644654501
596	0.6446519184
597	0.644646868
598	0.6446406214
599	0.6446349204
600	0.644628917
601	0.644625675
602	0.6446193993
603	0.6446157578
604	0.6446124523
605	0.6446110828
606	0.6446031592
607	0.6445984225
608	0.6445970504
609	0.6445907625
610	0.6445869577
611	0.6445824379
612	0.6445767518
613	0.6445735069
614	0.6445701699
615	0.644566462
616	0.6445614326
617	0.6445585635
618	0.6445543663
619	0.644549168
620	0.6445440792
621	0.6445407809
622	0.6445386871
623	0.6445343023
624	0.6445297168
625	0.6445243466
626	0.6445141783
627	0.6445079195
628	0.6445051047
629	0.6445016112
630	0.6444957145
631	0.6444892652
632	0.6444864013
633	0.6444800257
634	0.6444769099
635	0.644473504
636	0.644470669
637	0.6444655895
638	0.6444610267
639	0.6444578168
640	0.6444551697
641	0.6444511441
642	0.6444460364
643	0.6444410752
644	0.644439177
645	0.6444363316
646	0.6444306528
647	0.6444248305
648	0.6444194365
649	0.6444143274
650	0.6444101743
651	0.6444072577
652	0.644404381
653	0.644399763
654	0.6443952214
655	0.6443924727
656	0.6443885239
657	0.6443820824
658	0.6443782065
659	0.6443764291
660	0.644374753
661	0.6443713444
662	0.6443701558
663	0.6443686592
664	0.64436548
665	0.6443621506
666	0.6443607102
667	0.6443590821
668	0.6443548607
669	0.6443509031
670	0.6443444407
671	0.6443421772
672	0.6443376549
673	0.6443323767
674	0.6443274323
675	0.6443222049
676	0.6443195834
677	0.6443178862
678	0.6443068374
679	0.6443040505
680	0.6443013761
681	0.6442989532
682	0.6442956477
683	0.6442926533
684	0.6442892182
685	0.6442858084
686	0.6442832132
687	0.6442816868
688	0.6442789972
689	0.6442740422
690	0.6442711441
691	0.6442682301
692	0.6442657353
693	0.6442630332
694	0.6442600634
695	0.644253641
696	0.6442488121
697	0.6442466226
698	0.6442425251
699	0.6442385137
700	0.6442365259
701	0.6442348814
702	0.6442324735
703	0.6442293623
704	0.6442255485
705	0.6442201136
706	0.6442154614
707	0.6442113128
708	0.6442089161
709	0.6442006748
710	0.6441986172
711	0.6441957267
712	0.6441914572
713	0.6441866114
714	0.6441833176
715	0.6441797046
716	0.6441772903
717	0.6441738109
718	0.6441700753
719	0.6441659177
720	0.644161753
721	0.6441583328
722	0.6441560371
723	0.644151819
724	0.6441498326
725	0.6441463448
726	0.6441415633
727	0.6441321323
728	0.6441282672
729	0.6441234317
730	0.6441221137
731	0.6441165858
732	0.6441133555
733	0.6441114329
734	0.6441071669
735	0.6441029409
736	0.6440986547
737	0.6440908362
738	0.6440873387
739	0.6440818192
740	0.6440764003
741	0.6440742428
742	0.6440720934
743	0.6440700132
744	0.6440621265
745	0.6440588057
746	0.6440567872
747	0.6440547652
748	0.6440521313
749	0.6440481976
750	0.6440438696
751	0.6440387603
752	0.6440363312
753	0.6440302794
754	0.6440257791
755	0.6440180169
756	0.6440148518
757	0.6440132152
758	0.6440078909
759	0.6440062487
760	0.6440038057
761	0.6440013982
762	0.643993
763	0.6439885088
764	0.6439847279
765	0.6439838181
766	0.6439817554
767	0.6439802676
768	0.6439752978
769	0.6439720331
770	0.6439703797
771	0.6439674699
772	0.6439626073
773	0.6439581505
774	0.6439545526
775	0.6439510047
776	0.6439471379
777	0.6439426954
778	0.6439400466
779	0.6439384203
780	0.6439362102
781	0.6439267916
782	0.6439236978
783	0.6439215252
784	0.6439183569
785	0.6439158966
786	0.6439121369
787	0.6439100196
788	0.6439018972
789	0.6438993219
790	0.6438941655
791	0.6438923214
792	0.6438903642
793	0.6438887676
794	0.6438805639
795	0.6438795917
796	0.6438756082
797	0.6438715593
798	0.6438700768
799	0.6438681262
800	0.6438647747
801	0.643858158
802	0.6438566601
803	0.6438528463
804	0.6438452288
805	0.643842051
806	0.6438389296
807	0.643831221
808	0.6438284578
809	0.643825416
810	0.6438225765
811	0.6438213678
812	0.6438183245
813	0.6438140121
814	0.6438123601
815	0.6438091262
816	0.6438009321
817	0.6437958427
818	0.6437905518
819	0.643784584
820	0.6437825114
821	0.6437795275
822	0.6437790331
823	0.6437754142
824	0.6437735353
825	0.643769995
826	0.6437679556
827	0.6437659868
828	0.6437650962
829	0.6437608738
830	0.6437531624
831	0.6437492482
832	0.643746394
833	0.6437407319
834	0.643737439
835	0.6437356513
836	0.6437322223
837	0.643728624
838	0.6437268555
839	0.6437243733
840	0.6437233326
841	0.6437178899
842	0.6437158836
843	0.643707952
844	0.6437020158
845	0.6437003089
846	0.6436966091
847	0.6436927793
848	0.6436903579
849	0.6436866135
850	0.6436846355
851	0.6436808192
852	0.6436791874
853	0.6436720227
854	0.6436685134
855	0.6436637644
856	0.6436622173
857	0.643660386
858	0.6436577448
859	0.6436527763
860	0.6436485778
861	0.643645883
862	0.6436415153
863	0.6436354148
864	0.6436319257
865	0.6436289127
866	0.6436272407
867	0.6436251301
868	0.6436211023
869	0.6436208194
870	0.643620614
871	0.6436160585
872	0.6436076256
873	0.643603978
874	0.6435979097
875	0.6435955724
876	0.6435913151
877	0.6435901004
878	0.643585758
879	0.6435837528
880	0.6435818107
881	0.6435774808
882	0.6435726391
883	0.6435669509
884	0.6435642688
885	0.6435617777
886	0.6435578448
887	0.6435529268
888	0.6435481936
889	0.6435468186
890	0.6435456122
891	0.6435427112
892	0.6435404756
893	0.6435377263
894	0.6435329459
895	0.6435320964
896	0.6435284399
897	0.6435261901
898	0.6435242995
899	0.6435161218
900	0.6435145287
901	0.6435070532
902	0.6435053251
903	0.6435006988
904	0.6434981443
905	0.6434939631
906	0.6434923806
907	0.6434912029
908	0.6434871741
909	0.6434839683
910	0.6434804926
911	0.643475465
912	0.6434731696
913	0.6434709086
914	0.6434688407
915	0.6434649047
916	0.6434633359
917	0.6434598694
918	0.6434582237
919	0.6434572052
920	0.6434542998
921	0.6434509717
922	0.6434471191
923	0.6434433021
924	0.6434421225
925	0.6434398918
926	0.6434366909
927	0.6434323903
928	0.6434298172
929	0.6434262942
930	0.6434234865
931	0.6434162065
932	0.6434105657
933	0.6434090527
934	0.6434060356
935	0.6434040929
936	0.6434017966
937	0.6433976544
938	0.6433947167
939	0.6433933579
940	0.643382773
941	0.6433791769
942	0.6433757478
943	0.6433722546
944	0.6433683584
945	0.6433617822
946	0.6433547331
947	0.6433515266
948	0.6433481304
949	0.6433461727
950	0.6433431164
951	0.643339231
952	0.6433373124
953	0.6433341839
954	0.6433315523
955	0.6433284458
956	0.6433261854
957	0.6433244909
958	0.6433209111
959	0.6433188615
960	0.6433171096
961	0.6433116956
962	0.6433059429
963	0.6433001773
964	0.6432928093
965	0.6432882404
966	0.6432869613
967	0.6432868198
968	0.6432828882
969	0.6432791944
970	0.6432751696
971	0.6432710969
972	0.6432673241
973	0.6432631975
974	0.6432598696
975	0.6432563111
976	0.6432517363
977	0.6432499221
978	0.6432466596
979	0.6432424424
980	0.6432326889
981	0.6432289468
982	0.6432240335
983	0.643222439
984	0.6432200803
985	0.6432147303
986	0.6432122303
987	0.6432095933
988	0.6432073665
989	0.6432021994
990	0.6432008027
991	0.6431988167
992	0.6431974863
993	0.6431958489
994	0.6431919621
995	0.6431863488
996	0.6431819129
997	0.6431804621
998	0.6431771629
999	0.6431734425
